"","Doc","Score","Documents"
"1"," 1"," -2","ok account pretti sure somebodi hack say login email say log email know email know password written ití say wrong tri email answer month ago um password put everyth noth work keep tri right page like disappear awhil today decemb found now tri get canít still iím mad ití work obvious help job liter get old account mani friend pictur person old friend pass away hole famili post happi birthday doesnít matter fight chang password good old canít answer bodi question mayb see help donít recommend get iím done dumb app mad hole"
"2"," 2","  1","donít trust plateform"
"3"," 3","  0","peopl around constant share fals info thing noth happen friend liber side cours"
"4"," 4"," -1","start news tab funni allow news articl mislead headlin buit censor long ití liber news"
"5"," 5"," -2","donít get wrong iím censor america besid obvious fir childrení sake howev thing like select group beyond scari donít promot hate violenc supremaci anyth like love uniti countri etc iím threat appar later fb"
"6"," 6","  0","youír allow anymor"
"7"," 7"," -7","whatev happen first amend right iím sick tire censor shouldnít happen america ever american own base companyapp bc polit view donít match owneroper fb loudest now fiction news media iím tire unoffici elect result shove throat folk know good result offici forget ppl know bit polit scienc elect work iím tire post friend mine label violent theyír noth kind other donít even know threaten other physic bodili harm even death bc support presid post get flag cover complet claim ìfact checkersî proven fals number fake news put fals info hour ití right speakpost fals per st amend info fals accord fake news word ití fb go imparti bystand guess iím forget owneroper mark zuckerberg marxist thatíll never happen guess overcom marxist tri destroy democrat republ right"
"8"," 8","-10","bias network promot atmospher allow bulli communiti standard hide behind promot atmospher let peopl harass like send video record video call vulgar bulli remark via messeng dirti delet game rampant instig fb especi agenda push ití gotten realli pathet mani peopl move parler mew fb hand wonít allow link either media network put messeng algorithm kick messag link per mani peopl open account competitor ití longer place opinion suspens tell wack job harass reason tell poster ignor sheí probabl hs student result woman send record messag messeng screw high kite slur make racial remark threaten tri video call took pic correspond post state wouldnít toler began post remark send comment messeng dirti delet wrote go dope got suspens person get reject report doesnít go standard iím guess conserv cover photo caus decis make"
"9"," 9","-10","app crash consist remov post comment simpli fail save post comment crash coddl racist internet troll obscen degre exampl person call discriminatori phrase base race religion gender sexual prefer report theyív edit post fb rule favor threaten freez account make complaint rest world canít see said revisionedit histori colleg friend mine pass year ago school undergrad degre account hack someon chang name account post raunchi pictur anoth young woman request money gift card exchang nude tri report account along former colleg advisor categori fit explain situat followup complaint via email zero repli receiv generic respons say content wasnít violat fb rule never address fact upset steal account hacker make money dead love warn submit complaint account generic respons donít expect much"
"10","10","  0","app use great stay touch old new friend post funni pictur say import now hope friend arenít conserv stay jail canít post anyth may think funni ìmay offend othersî first friend know offend post wouldnít friend second say isnít appropri oh forgot yíall ìwokeî bad last good news still self post long liberalsocialist lord forbid disagre almighti hypocrit god yea includ littl sheepi marki peopl arenít allow fun post someth think funni ití make fun sheep herder mention love shove socialist agenda throat everi get ití someth interest follow notif whatsoev yes look set mark sinc interest social start receiv week check much money think need socialist give peopl donít"
"11","11","  0","hate give zero star ití like school popular adult reason cuz sign app iím far commit app huge hassl start differ account"
"12","12"," -1","famili friend fan anymor probabl gonna track shut everyth said someth didnít like wouldnít par gold plate liber bias greed fill power hungri cours"
"13","13"," -3","experi ìon meî set across newsfe post eye get ìfact checkedî custom servic discuss reason account disabl artifici intellig robot charg year use platform post ìon meî post view disabl account along busi page now inaccess creat profil frame alpril hashtag ìgreat awakeningî statement flag ìracist hate speech bullyingî octob warn account disabl platform big threat constitut free speech ití platform built distract life becom addict engin collect data"
"14","14"," -1","give zero star ban didnít tell mute disgust act alon prove corrupt thereí absolut reason post post check possibl g nice phone thereí reason post block besid fact ban threw away key didnít even tell mute five star onlin marketplac conveni store fulli ban make honest live made sure give best custom support even gave refund will compli chang post ban still deserv busi american donít right author govern hand support network silenc free speech kick innoc user thereí reason ever right ití american law broken wrong scam stole never hack anyon iím ban iíd give zero star"
"15","15"," -1","kept hope stop switch app sound away tri forc creat passcod undo prefer app becom relentless switch app sound daili ití obnoxi never want first place mani time inform app sound shut good unpleas hear cheesi click clack sound simpli move post post horribl idea"
"16","16"," -3","updat last order comment messag show weird show ìmost relevantî first particular order even chang ìnewest firstî still show ìmost relevantî first rearrang messag show order oldest newest vice versa pleas fix"
"17","17"," -2","account least year last year notic increas becom bias start silenc peopleí opinion differ facebook agenda like treat like child incap make choic app app censorship ìfactcheckingî person opinion account suspens think differ threat delet account"
"18","18"," -3","flag account threaten suspend state ìdanger individu groupî post meme biden quaker oat guy say ìfaker votesî thatí violat simpl fun poke ití outright gagrag stuf throat expos real world crimin act decept toward entir nation bye donít worri tri ití pinkslip walk paper evict notic bankruptci close follow done user base side traitor treason cheat commi"
"19","19"," -2","updat review nov stop mess app fix bug stop tweak go group know longer see group belong featur gone away report restor now latest updat ití gone"
"20","20"," -5","angri conserv content censor incens fb decid won presidenti elect near certifi rife obvious fraud illeg manipul perpetr marxistsleftist bent take control convert countri social presidenti talli display incorrect order influenc public larg accept joe biden presid titl presid elect countri republ dictatorship refus influenc fb mind think free constitut angri fb censor christian content ití ok condon traffick human hate speech left muslim belief mani notion find repugn promot hate marxist ideal zuckerburg sold soul power money go prison tri facilit convers countri social abus power brought justic accord place dictat direct nation money power peopl decid"
"21","21"," -5","now optionsand longer monopoli media outletsi high suggest go agre high liber agenda forc fed throatthen donít load app bombard agenda everi postand dare disagreethen prepar gestapo ban account anytim wish design anyon complet left wing lunaticand god forbid actual disagre anyth shove face safe place conserv peopl protect youor punish anyon goe receiv death threat actbut voic semiconserv opinionthen pounc finger lift ìsendî button hide behind legal loopholesand soon answer bias discrimin harvest infothey allow other sameand forget delet account almost imposs delet never give straight answer anyth"
